Determine why this imported library produces multiple disconnected franchise groups.

Analyse every disconnected component

Final Fantasy

Component A
- Final Fantasy VII: Advent Children

Component B
- Final Fantasy: The Spirits Within

Reason:
Canonical normalization mismatch.

Analyse enrichment

| MAL ID | AniList ID | Enrichment | Relations |
| 168 | Found | Success | 2 |
| 205 | Not Found | Failure | 0 |
| 2476 | Found | Success | 3 |
| 24 | Found | Success | 2 |
| 517 | Found | Success | 2 |
| 167 | Not Found | Failure | 0 |
| 400 | Found | Success | 3 |
| 290 | Found | Success | 3 |
| 1827 | Found | Success | 0 |
| 199 | Found | Success | 1 |
| 2104 | Found | Success | 3 |
| 1559 | Found | Success | 2 |
| 217 | Found | Success | 1 |
| 90 | Found | Success | 8 |
| 16498 | Found | Success | 10 |
| 25777 | Found | Success | 5 |
| 169 | Found | Success | 2 |
| 30 | Found | Success | 11 |
| 32 | Found | Success | 3 |
| 31 | Found | Success | 2 |
| 170 | Found | Success | 5 |
| 478 | Found | Success | 5 |
| 198 | Not Found | Failure | 0 |
| 565 | Not Found | Failure | 0 |
| 25 | Found | Success | 0 |
| 390 | Found | Success | 1 |
| 849 | Found | Success | 3 |
| 2001 | Found | Success | 7 |
| 174 | Found | Success | 2 |
| 182 | Found | Success | 1 |
| 51 | Found | Success | 0 |
| 200 | Found | Success | 1 |
| 16870 | Found | Success | 1 |
| 2236 | Found | Success | 0 |
| 916 | Found | Success | 0 |
| 523 | Found | Success | 2 |
| 415 | Found | Success | 1 |
| 6 | Found | Success | 2 |
| 10162 | Found | Success | 1 |
| 842 | Found | Success | 2 |
| 180 | Found | Success | 2 |
| 181 | Found | Success | 2 |
| 201 | Not Found | Failure | 0 |
| 7 | Not Found | Failure | 0 |
| 202 | Found | Success | 1 |
| 1023 | Found | Success | 1 |
| 203 | Found | Success | 2 |
| 1562 | Found | Success | 0 |
| 204 | Not Found | Failure | 0 |
| 392 | Found | Success | 7 |
| 269 | Found | Success | 10 |
| 790 | Not Found | Failure | 0 |
| 15 | Found | Success | 3 |
| 5341 | Found | Success | 2 |
| 1699 | Not Found | Failure | 0 |
| 2993 | Found | Success | 1 |
| 2605 | Found | Success | 3 |
| 22 | Found | Success | 11 |
| 50 | Found | Success | 4 |
| 394 | Found | Success | 2 |
| 101 | Found | Success | 4 |
| 857 | Found | Success | 2 |
| 281 | Found | Success | 2 |
| 477 | Found | Success | 1 |
| 66 | Found | Success | 2 |
| 3407 | Found | Success | 1 |
| 150 | Found | Success | 3 |
| 8 | Found | Success | 1 |
| 159 | Found | Success | 0 |
| 2904 | Found | Success | 8 |
| 1482 | Found | Success | 1 |
| 1535 | Found | Success | 2 |
| 2164 | Found | Success | 0 |
| 813 | Found | Success | 34 |
| 2795 | Found | Success | 1 |
| 455 | Found | Success | 1 |
| 395 | Found | Success | 1 |
| 127 | Found | Success | 1 |
| 129 | Found | Success | 5 |
| 487 | Found | Success | 1 |
| 246 | Found | Success | 1 |
| 411 | Found | Success | 1 |
| 3002 | Found | Success | 2 |
| 1570 | Found | Success | 1 |
| 2026 | Found | Success | 4 |
| 777 | Found | Success | 2 |
| 379 | Found | Success | 1 |
| 2002 | Not Found | Failure | 0 |
| 934 | Found | Success | 6 |
| 940 | Found | Success | 2 |
| 863 | Found | Success | 1 |
| 1530 | Found | Success | 3 |
| 145 | Found | Success | 1 |
| 1604 | Found | Success | 3 |
| 572 | Found | Success | 0 |
| 2602 | Not Found | Failure | 0 |
| 845 | Not Found | Failure | 0 |
| 274 | Found | Success | 5 |
| 18679 | Found | Success | 2 |
| 3229 | Found | Success | 1 |
| 2403 | Found | Success | 2 |
| 237 | Found | Success | 5 |
| 275 | Found | Success | 3 |
| 277 | Found | Success | 3 |
| 157 | Found | Success | 2 |
| 273 | Found | Success | 1 |
| 98 | Found | Success | 3 |
| 1453 | Found | Success | 4 |
| 3226 | Found | Success | 2 |
| 860 | Found | Success | 1 |
| 235 | Found | Success | 69 |
| 222 | Found | Success | 1 |
| 2963 | Found | Success | 1 |
| 32182 | Found | Success | 4 |
| 323 | Found | Success | 1 |
| 3655 | Not Found | Failure | 0 |
| 1722 | Not Found | Failure | 0 |
| 4081 | Found | Success | 3 |
| 272 | Not Found | Failure | 0 |
| 1538 | Not Found | Failure | 0 |
| 31240 | Found | Success | 9 |
| 23 | Found | Success | 2 |
| 64 | Found | Success | 3 |
| 114 | Found | Success | 1 |
| 166 | Not Found | Failure | 0 |
| 846 | Found | Success | 3 |
| 396 | Found | Success | 3 |
| 355 | Found | Success | 6 |
| 154 | Found | Success | 2 |
| 79 | Found | Success | 2 |
| 1965 | Found | Success | 1 |
| 75 | Found | Success | 2 |
| 3588 | Found | Success | 3 |
| 1568 | Found | Success | 1 |
| 391 | Found | Success | 0 |
| 513 | Found | Success | 0 |
| 26 | Found | Success | 1 |
| 472 | Found | Success | 5 |
| 3455 | Found | Success | 1 |
| 1860 | Found | Success | 1 |
| 27 | Not Found | Failure | 0 |
| 2129 | Found | Success | 5 |
| 1198 | Not Found | Failure | 0 |
| 178 | Found | Success | 1 |
| 3457 | Found | Success | 2 |
| 278 | Not Found | Failure | 0 |
| 183 | Not Found | Failure | 0 |
| 861 | Found | Success | 7 |
| 28 | Not Found | Failure | 0 |
| 1195 | Found | Success | 2 |
| 29 | Not Found | Failure | 0 |
| 9776 | Found | Success | 2 |
| 3090 | Found | Success | 2 |
| 9201 | Found | Success | 1 |
| 24833 | Found | Success | 7 |
| 2251 | Found | Success | 2 |
| 1589 | Found | Success | 1 |
| 1686 | Found | Success | 1 |
| 762 | Found | Success | 1 |
| 834 | Found | Success | 1 |
| 31964 | Found | Success | 3 |
| 1690 | Found | Success | 0 |
| 10800 | Found | Success | 2 |
| 6573 | Found | Success | 1 |
| 974 | Not Found | Failure | 0 |
| 31163 | Found | Success | 2 |
| 2759 | Found | Success | 3 |
| 3784 | Found | Success | 3 |
| 31931 | Found | Success | 1 |
| 5114 | Found | Success | 5 |
| 430 | Found | Success | 2 |
| 918 | Found | Success | 12 |
| 28977 | Found | Success | 5 |
| 2494 | Found | Success | 0 |
| 1142 | Found | Success | 1 |
| 37141 | Found | Success | 5 |
| 6372 | Found | Success | 2 |
| 6637 | Found | Success | 1 |
| 1889 | Found | Success | 4 |
| 578 | Found | Success | 0 |
| 811 | Found | Success | 2 |
| 15059 | Found | Success | 3 |
| 3701 | Not Found | Failure | 0 |
| 389 | Not Found | Failure | 0 |
| 24439 | Found | Success | 2 |
| 1087 | Found | Success | 4 |
| 22535 | Found | Success | 0 |
| 1067 | Found | Success | 1 |
| 28851 | Found | Success | 1 |
| 4186 | Found | Success | 1 |
| 1887 | Found | Success | 5 |
| 5028 | Found | Success | 2 |
| 2246 | Found | Success | 3 |
| 4151 | Found | Success | 1 |
| 4477 | Found | Success | 3 |
| 1029 | Found | Success | 0 |
| 34134 | Found | Success | 3 |
| 402 | Found | Success | 1 |
| 107 | Found | Success | 1 |
| 437 | Not Found | Failure | 0 |
| 559 | Found | Success | 1 |
| 1608 | Not Found | Failure | 0 |
| 4163 | Found | Success | 2 |
| 28171 | Found | Success | 2 |
| 35839 | Found | Success | 0 |
| 4382 | Found | Success | 4 |
| 817 | Found | Success | 1 |
| 1555 | Found | Success | 3 |
| 4106 | Found | Success | 1 |
| 177 | Found | Success | 9 |
| 11113 | Found | Success | 1 |
| 856 | Found | Success | 4 |
| 2608 | Not Found | Failure | 0 |
| 798 | Found | Success | 2 |
| 2404 | Found | Success | 1 |

Analyse graph connectivity

Number of connected components: 312
Largest component: Fighting Spirit (5 entries)
Singleton components: 261
Components sharing nearly identical canonical titles: Final Fantasy

Analyse canonical title generation

Final Fantasy VII: Advent Children
↓
final fantasy vii advent children
↓
final fantasy vii advent children, final fantasy vii

Final Fantasy: The Spirits Within
↓
final fantasy the spirits within
↓
final fantasy the spirits within, final fantasy

Produce a root cause

Final Fantasy: Canonical normalization mismatch
