Analyse enrichment

MAL ID: 1030 | AniList ID: (hidden) | Enrichment: Success | Relations: 0
MAL ID: 270 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 5630 | AniList ID: (hidden) | Enrichment: Success | Relations: 3
MAL ID: 135 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 258 | AniList ID: (hidden) | Enrichment: Failure | Relations: 0
MAL ID: 256 | AniList ID: (hidden) | Enrichment: Success | Relations: 0
MAL ID: 431 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 17 | AniList ID: (hidden) | Enrichment: Failure | Relations: 0
MAL ID: 136 | AniList ID: (hidden) | Enrichment: Success | Relations: 3
MAL ID: 11061 | AniList ID: (hidden) | Enrichment: Success | Relations: 8
MAL ID: 138 | AniList ID: (hidden) | Enrichment: Success | Relations: 3
MAL ID: 139 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 137 | AniList ID: (hidden) | Enrichment: Success | Relations: 3
MAL ID: 248 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 637 | AniList ID: (hidden) | Enrichment: Failure | Relations: 0
MAL ID: 257 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 160 | AniList ID: (hidden) | Enrichment: Success | Relations: 0
MAL ID: 185 | AniList ID: (hidden) | Enrichment: Success | Relations: 6
MAL ID: 18 | AniList ID: (hidden) | Enrichment: Success | Relations: 4
MAL ID: 186 | AniList ID: (hidden) | Enrichment: Success | Relations: 5
MAL ID: 187 | AniList ID: (hidden) | Enrichment: Success | Relations: 4
MAL ID: 249 | AniList ID: (hidden) | Enrichment: Success | Relations: 8
MAL ID: 570 | AniList ID: (hidden) | Enrichment: Success | Relations: 0
MAL ID: 253 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 255 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 153 | AniList ID: (hidden) | Enrichment: Success | Relations: 0
MAL ID: 144 | AniList ID: (hidden) | Enrichment: Success | Relations: 4
MAL ID: 33 | AniList ID: (hidden) | Enrichment: Success | Relations: 4
MAL ID: 218 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 219 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 93 | AniList ID: (hidden) | Enrichment: Success | Relations: 9
MAL ID: 52 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 147 | AniList ID: (hidden) | Enrichment: Success | Relations: 5
MAL ID: 32281 | AniList ID: (hidden) | Enrichment: Success | Relations: 3
MAL ID: 2927 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 486 | AniList ID: (hidden) | Enrichment: Success | Relations: 5
MAL ID: 146 | AniList ID: (hidden) | Enrichment: Success | Relations: 0
MAL ID: 412 | AniList ID: (hidden) | Enrichment: Success | Relations: 0
MAL ID: 43 | AniList ID: (hidden) | Enrichment: Success | Relations: 5
MAL ID: 433 | AniList ID: (hidden) | Enrichment: Success | Relations: 0
MAL ID: 416 | AniList ID: (hidden) | Enrichment: Success | Relations: 0
MAL ID: 220 | AniList ID: (hidden) | Enrichment: Success | Relations: 0
MAL ID: 97 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 207 | AniList ID: (hidden) | Enrichment: Success | Relations: 4
MAL ID: 189 | AniList ID: (hidden) | Enrichment: Success | Relations: 4
MAL ID: 190 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 191 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 192 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 2034 | AniList ID: (hidden) | Enrichment: Success | Relations: 0
MAL ID: 193 | AniList ID: (hidden) | Enrichment: Failure | Relations: 0
MAL ID: 194 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 576 | AniList ID: (hidden) | Enrichment: Failure | Relations: 0
MAL ID: 276 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 627 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 558 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 1842 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 361 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 221 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 330 | AniList ID: (hidden) | Enrichment: Success | Relations: 0
MAL ID: 585 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 164 | AniList ID: (hidden) | Enrichment: Success | Relations: 0
MAL ID: 19 | AniList ID: (hidden) | Enrichment: Failure | Relations: 0
MAL ID: 3001 | AniList ID: (hidden) | Enrichment: Success | Relations: 3
MAL ID: 457 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 316 | AniList ID: (hidden) | Enrichment: Success | Relations: 0
MAL ID: 877 | AniList ID: (hidden) | Enrichment: Failure | Relations: 0
MAL ID: 20 | AniList ID: (hidden) | Enrichment: Success | Relations: 11
MAL ID: 936 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 1735 | AniList ID: (hidden) | Enrichment: Success | Relations: 17
MAL ID: 622 | AniList ID: (hidden) | Enrichment: Success | Relations: 0
MAL ID: 597 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 1210 | AniList ID: (hidden) | Enrichment: Success | Relations: 0
MAL ID: 1698 | AniList ID: (hidden) | Enrichment: Success | Relations: 3
MAL ID: 30276 | AniList ID: (hidden) | Enrichment: Success | Relations: 3
MAL ID: 195 | AniList ID: (hidden) | Enrichment: Success | Relations: 5
MAL ID: 196 | AniList ID: (hidden) | Enrichment: Success | Relations: 3
MAL ID: 12355 | AniList ID: (hidden) | Enrichment: Success | Relations: 0
MAL ID: 2966 | AniList ID: (hidden) | Enrichment: Success | Relations: 3
MAL ID: 6007 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 2159 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 853 | AniList ID: (hidden) | Enrichment: Success | Relations: 0
MAL ID: 2112 | AniList ID: (hidden) | Enrichment: Failure | Relations: 0
MAL ID: 1943 | AniList ID: (hidden) | Enrichment: Failure | Relations: 0
MAL ID: 322 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 161 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 213 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 214 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 215 | AniList ID: (hidden) | Enrichment: Success | Relations: 4
MAL ID: 329 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 212 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 211 | AniList ID: (hidden) | Enrichment: Failure | Relations: 0
MAL ID: 208 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 165 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 210 | AniList ID: (hidden) | Enrichment: Success | Relations: 3
MAL ID: 710 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 917 | AniList ID: (hidden) | Enrichment: Success | Relations: 3
MAL ID: 197 | AniList ID: (hidden) | Enrichment: Failure | Relations: 0
MAL ID: 45 | AniList ID: (hidden) | Enrichment: Success | Relations: 9
MAL ID: 46 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 401 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 44 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
